"Color","Count","Locations"
"#3B82F6","30",".\lib\theme.tsx:89, .\lib\theme.tsx:139, .\components\DeleteAccountModal.tsx:114, .\components\StatusBadge.tsx:10, .\components\community\CitySearchModal.tsx:125, .\components\community\CitySearchModal.tsx:338, .\components\community\CommunityFeed.tsx:242, .\components\community\CommunityFeed.tsx:306, .\components\community\CommunityFeed.tsx:455, .\components\community\CommunityFeed.web.tsx:245, .\components\community\CommunityFeed.web.tsx:309, .\components\community\CommunityFeed.web.tsx:458, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:119, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:174, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:186, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:228, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:331, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:337, .\components\community\QuickPostBar.web.tsx:628, .\components\community\QuickPostBar.web.tsx:651, .\components\community\QuickPostBar.web.tsx:711, .\components\community\QuickPostBar.tsx:589, .\components\community\QuickPostBar.tsx:612, .\components\community\PostCard.tsx:654, .\components\community\PostCard.tsx:684, .\components\community\PostCard.tsx:989, .\components\community\PostCard.tsx:1166, .\app\(tabs)\search.tsx:673, .\app\(tabs)\search.tsx:717, .\app\_backup_pricing\pricing_revenuecat.tsx:155"
"#4285F4","1",".\app\(auth)\login.tsx:347"
"#475569","18",".\components\web\WebHeader.tsx:295, .\components\web\WebHeader.tsx:327, .\app\(web)\index.tsx:543, .\app\(web)\index.tsx:672, .\app\(web)\index.tsx:713, .\app\(web)\index.tsx:812, .\app\(web)\about.tsx:411, .\app\(web)\about.tsx:449, .\app\(web)\about.tsx:486, .\app\(web)\about.tsx:560, .\app\(web)\about.tsx:584, .\app\(web)\pricing_web.tsx:528, .\app\(web)\pricing_web.tsx:602, .\app\(web)\pricing.tsx:522, .\app\(tabs)\search.tsx:695, .\app\(tabs)\search.tsx:763, .\app\(tabs)\profile.tsx:1047, .\app\(tabs)\profile.tsx:1139"
"#4B5563","9",".\lib\theme.tsx:154, .\components\DeleteAccountModal.tsx:227, .\components\DeleteAccountModal.tsx:252, .\components\DeleteAccountModal.tsx:278, .\components\DeleteAccountModal.tsx:317, .\components\community\UpgradePromptModal.tsx:156, .\components\community\UpgradePromptModal.tsx:188, .\components\community\PostCard.tsx:918, .\components\community\PostCard.tsx:1191"
"#60A5FA","3",".\lib\theme.tsx:151, .\app\(tabs)\pricing.tsx:1716, .\app\_backup_pricing\pricing_stripe_backup.tsx:1261"
"#6366F1","1",".\components\community\PostCard.tsx:1169"
"#64748B","86",".\components\Button.tsx:75, .\components\web\WebHeader.tsx:64, .\app\(web)\index.tsx:578, .\app\(web)\index.tsx:773, .\app\(web)\features.tsx:267, .\app\(web)\features.tsx:283, .\app\(web)\features.tsx:308, .\app\(web)\features.tsx:322, .\app\(web)\features.tsx:369, .\app\(web)\features.tsx:412, .\app\(web)\features.tsx:439, .\app\(web)\cookies.tsx:254, .\app\(web)\cookies.tsx:275, .\app\(web)\terms.tsx:267, .\app\(web)\terms.tsx:288, .\app\(web)\refund.tsx:244, .\app\(web)\refund.tsx:265, .\app\(web)\privacy.tsx:221, .\app\(web)\privacy.tsx:242, .\app\(web)\pricing_web.tsx:417, .\app\(web)\pricing_web.tsx:493, .\app\(web)\pricing.tsx:375, .\app\(web)\pricing.tsx:432, .\app\(web)\pricing.tsx:447, .\app\(auth)\register.tsx:241, .\app\(auth)\login.tsx:298, .\app\(auth)\login.tsx:321, .\components\leads\LeadDetailModal.tsx:238, .\components\leads\LeadDetailModal.tsx:253, .\components\leads\LeadDetailModal.tsx:262, .\components\leads\LeadDetailModal.tsx:291, .\components\leads\LeadDetailModal.tsx:323, .\components\leads\LeadDetailModal.tsx:521, .\components\leads\LeadDetailModal.tsx:602, .\components\leads\LeadDetailModal.tsx:607, .\components\leads\LeadDetailModal.tsx:683, .\app\(tabs)\_layout.tsx:13, .\app\(tabs)\search.tsx:333, .\app\(tabs)\search.tsx:387, .\app\(tabs)\search.tsx:479, .\app\(tabs)\search.tsx:548, .\app\(tabs)\search.tsx:587, .\app\(tabs)\search.tsx:611, .\app\(tabs)\search.tsx:686, .\app\(tabs)\search.tsx:737, .\app\(tabs)\search.tsx:744, .\app\(tabs)\profile.tsx:461, .\app\(tabs)\profile.tsx:553, .\app\(tabs)\profile.tsx:945, .\app\(tabs)\profile.tsx:961, .\app\(tabs)\profile.tsx:969, .\app\(tabs)\profile.tsx:1007, .\app\(tabs)\profile.tsx:1058, .\app\(tabs)\profile.tsx:1080, .\app\(tabs)\profile.tsx:1107, .\app\(tabs)\profile.tsx:1276, .\app\(tabs)\pricing.tsx:862, .\app\(tabs)\pricing.tsx:1413, .\app\(tabs)\pricing.tsx:1461, .\app\(tabs)\pricing.tsx:1465, .\app\(tabs)\pricing.tsx:1503, .\app\(tabs)\pricing.tsx:1553, .\app\(tabs)\pricing.tsx:1580, .\app\(tabs)\pricing.tsx:1595, .\app\(tabs)\leads.tsx:619, .\app\(tabs)\leads.tsx:912, .\app\(tabs)\leads.tsx:927, .\app\(tabs)\leads.tsx:1152, .\app\(tabs)\leads.tsx:1191, .\app\(tabs)\leads.tsx:1200, .\app\(tabs)\leads.tsx:1342, .\app\(tabs)\leads.tsx:1380, .\app\(tabs)\leads.tsx:1421, .\app\(tabs)\index.tsx:191, .\app\(tabs)\index.tsx:213, .\app\(tabs)\index.tsx:279, .\app\(tabs)\index.tsx:309, .\app\(tabs)\index.tsx:333, .\app\_backup_pricing\pricing_stripe_backup.tsx:523, .\app\_backup_pricing\pricing_stripe_backup.tsx:958, .\app\_backup_pricing\pricing_stripe_backup.tsx:1006, .\app\_backup_pricing\pricing_stripe_backup.tsx:1010, .\app\_backup_pricing\pricing_stripe_backup.tsx:1048, .\app\_backup_pricing\pricing_stripe_backup.tsx:1098, .\app\_backup_pricing\pricing_stripe_backup.tsx:1125, .\app\_backup_pricing\pricing_stripe_backup.tsx:1140"
"#667EEA","2",".\supabase\functions\stripe-redirect\index.ts:40, .\supabase\functions\stripe-redirect\index.ts:69"
"#6B7280","60",".\lib\theme.tsx:84, .\lib\theme.tsx:155, .\components\DeleteAccountModal.tsx:69, .\components\web\WebFooter.tsx:97, .\components\web\WebFooter.tsx:108, .\components\community\CitySearchModal.tsx:104, .\components\community\CitySearchModal.tsx:175, .\components\community\CitySearchModal.tsx:208, .\components\community\CitySearchModal.tsx:213, .\components\community\CitySearchModal.tsx:230, .\components\community\CitySearchModal.tsx:265, .\components\community\CitySearchModal.tsx:305, .\components\community\CitySearchModal.tsx:328, .\components\community\CitySearchModal.tsx:350, .\components\community\CitySearchModal.tsx:356, .\components\community\CommunityFeed.tsx:353, .\components\community\CommunityFeed.tsx:381, .\components\community\CommunityFeed.tsx:505, .\components\community\CommunityFeed.tsx:522, .\components\community\CommunityFeed.tsx:628, .\components\community\CommunityFeed.tsx:649, .\components\community\CommunityFeed.tsx:667, .\components\community\CommunityFeed.web.tsx:356, .\components\community\CommunityFeed.web.tsx:384, .\components\community\CommunityFeed.web.tsx:508, .\components\community\CommunityFeed.web.tsx:525, .\components\community\CommunityFeed.web.tsx:631, .\components\community\CommunityFeed.web.tsx:652, .\components\community\CommunityFeed.web.tsx:670, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:199, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:254, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:271, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:297, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:350, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:368, .\components\community\UpgradePromptModal.tsx:243, .\components\community\TemplateSelector.tsx:28, .\components\community\TemplateSelector.tsx:114, .\components\community\QuickPostBar.web.tsx:647, .\components\community\QuickPostBar.web.tsx:661, .\components\community\QuickPostBar.web.tsx:692, .\components\community\QuickPostBar.web.tsx:714, .\components\community\QuickPostBar.tsx:608, .\components\community\QuickPostBar.tsx:622, .\components\community\PostCard.tsx:595, .\components\community\PostCard.tsx:702, .\components\community\PostCard.tsx:712, .\components\community\PostCard.tsx:893, .\components\community\PostCard.tsx:928, .\components\community\PostCard.tsx:943, .\components\community\PostCard.tsx:959, .\components\community\PostCard.tsx:1048, .\components\community\PostCard.tsx:1088, .\components\community\CommunityFiltersModal.tsx:115, .\components\community\CommunityFiltersModal.tsx:290, .\app\(tabs)\profile.tsx:1245, .\app\(tabs)\leads.tsx:833, .\app\(tabs)\leads.tsx:861, .\app\(tabs)\leads.tsx:1285, .\app\(tabs)\leads.tsx:1306"
"#78350F","1",".\app\(tabs)\search.tsx:639"
